eval_id,eval_type,question,gold_source_type,gold_document_unit_ids,gold_article_numbers,chunking_strategy,embedding_model,retriever,alpha,hit_at_1,hit_at_3,hit_at_5,rr,ndcg_at_5,latency_sec,top1_chunk_id,top1_parent_document_id,top1_source_type,top1_article_number,top1_article_title,top1_score,top1_retrieval_backend,top5_parent_document_ids,top5_article_numbers,top5_chunk_ids,top5_relevance
122,legal_article_retrieval,كم مدة فترة التجربة في نظام العمل السعودي؟,legal_article,b56e9c99f1c551928c8727dae90850186c14efc78d6272f429f0c448add3f3dc,53,structural,none,bm25,,0,0,0,0.0,0.0,0.0006814002990722656,STRUCT_000325,4793db46dc99343073200c5fb5e6966468d84b96930f7e09fc7a759044001693,faq,,,19.066692808020324,bm25,4793db46dc99343073200c5fb5e6966468d84b96930f7e09fc7a759044001693|54dd78f3d97e2df85a7182709a503a95478bc0ac5188edebd35d5cdb2aa670d5|ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142|78f81c83dd04fa5ab3381ae749af2ce057520311f0ab6e19511a79a62a4edefd|252f692c8312ef6d3c924a55f14b510ccfc6473b464954261010cc34ab085e39,||54||,STRUCT_000325|STRUCT_000403|STRUCT_000054|STRUCT_000471|STRUCT_000467,00000
123,legal_article_retrieval,هل يجوز وضع العامل تحت التجربة أكثر من مرة لدى نفس صاحب العمل؟,legal_article,ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142,54,structural,none,bm25,,0,1,1,0.5,0.6309297535714575,0.0008633136749267578,STRUCT_000325,4793db46dc99343073200c5fb5e6966468d84b96930f7e09fc7a759044001693,faq,,,33.179443758044115,bm25,4793db46dc99343073200c5fb5e6966468d84b96930f7e09fc7a759044001693|ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142|b000be40b42e62b53767d8a6b3ce98a52925518bcd3ea5df158e0bdfd70d9401|54dd78f3d97e2df85a7182709a503a95478bc0ac5188edebd35d5cdb2aa670d5|78f81c83dd04fa5ab3381ae749af2ce057520311f0ab6e19511a79a62a4edefd,|54|||,STRUCT_000325|STRUCT_000054|STRUCT_000312|STRUCT_000403|STRUCT_000471,01000
124,legal_article_retrieval,ما الحد الأقصى لساعات العمل اليومية في نظام العمل؟,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,structural,none,bm25,,0,0,0,0.0,0.0,0.0007655620574951172,STRUCT_000049,e4d470e6c895aa67ddcc96c01053ca76ea671eef5bb06b15c750fe1c5c6a5369,legal_article,49,المادة التاسعة والأربعون:,21.42290469383727,bm25,e4d470e6c895aa67ddcc96c01053ca76ea671eef5bb06b15c750fe1c5c6a5369|1157999dfa071a7320606edb9b747429aa71cb7707dcaf5be88784d6c4e2f7ca|9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2|ca6cc094ab3ce37fc177598a1d2c327834a69443b2b4fcd93428e9379e09d03e|a5c97c0a44012239497929539ec3ce025b26c4344a3df4a284a9f39e8dbc6a78,49|6|106|108|,STRUCT_000049|STRUCT_000006|STRUCT_000107|STRUCT_000109|STRUCT_000367,00000
125,legal_article_retrieval,ما الحد الأقصى لساعات العمل الأسبوعية؟,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,structural,none,bm25,,0,0,0,0.0,0.0,0.0005893707275390625,STRUCT_000107,9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2,legal_article,106,المادة السادسة بعد المائة:,15.04663428527702,bm25,9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2|e4d470e6c895aa67ddcc96c01053ca76ea671eef5bb06b15c750fe1c5c6a5369|1157999dfa071a7320606edb9b747429aa71cb7707dcaf5be88784d6c4e2f7ca|ca6cc094ab3ce37fc177598a1d2c327834a69443b2b4fcd93428e9379e09d03e|139a495e5833db8719d8b962673d1f8e9de497b5a0e408371c98ec4345f855a7,106|49|6|108|,STRUCT_000107|STRUCT_000049|STRUCT_000006|STRUCT_000109|STRUCT_000311,00000
126,legal_article_retrieval,هل تختلف ساعات العمل في شهر رمضان؟,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,structural,none,bm25,,0,1,1,0.3333333333333333,0.5,0.0008902549743652344,STRUCT_000313,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa,faq,,,17.669900360830297,bm25,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa|5a356cdb0bebaddc4e75f9c17283d8015c2bb4ae6571eb8c393aba98e267920f|a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792|b000be40b42e62b53767d8a6b3ce98a52925518bcd3ea5df158e0bdfd70d9401|5faff72db76cc565d1471b64c1a71986408daed8483140acfd92f87d333f6350,|164|98||,STRUCT_000313|STRUCT_000162|STRUCT_000099|STRUCT_000312|STRUCT_000330,00100
127,legal_article_retrieval,ما مدة الإجازة السنوية المستحقة للعامل؟,legal_article,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,109,structural,none,bm25,,0,0,0,0.0,0.0,0.0008213520050048828,STRUCT_000321,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855,faq,,,15.434449483222576,bm25,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b|b1274bf7adc64bdf451019e4044a08171998e04e52da706e1753c4c39cb3f88e|17f5e799f2359b0c3ba4e9d91f8d09985f5ecf35c5f3d51b2b587635e9ededdd|c5a843a4e9ea3aafe8acadcd07026ff088da4c532d92515af1a61a58c14082e6,||||,STRUCT_000321|STRUCT_000318|STRUCT_000314|STRUCT_000250|STRUCT_000319,00000
128,legal_article_retrieval,متى تزيد الإجازة السنوية إلى ثلاثين يومًا؟,legal_article,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,109,structural,none,bm25,,0,0,0,0.0,0.0,0.0006501674652099609,STRUCT_000318,7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b,faq,,,11.679279043970187,bm25,7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b|b1274bf7adc64bdf451019e4044a08171998e04e52da706e1753c4c39cb3f88e|bdee8a861687feda8fb175d9a4a5f4ab740c548ee4d7528256ae066315200e91|f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|d8d08274c8960424759e6f96033aea6666a85c87bd7f71f1afc641138dca32c1,||110||,STRUCT_000318|STRUCT_000314|STRUCT_000111|STRUCT_000321|STRUCT_000320,00000
129,legal_article_retrieval,هل يستحق العامل أجرًا عن أيام الإجازة غير المستخدمة عند انتهاء العمل؟,legal_article,6e6c8673adaa51e0d5e36d8807155b8b4a11c80dbdacd9d0003d61cadafb2edd,111,structural,none,bm25,,0,0,0,0.0,0.0,0.0012042522430419922,STRUCT_000318,7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b,faq,,,17.009904048731848,bm25,7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b|28c7e1dfc1f40ebb7b007a201360d537c4fc081c6d57f7bcda5166491de1ba69|f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|e64d28a7e465e48fbf7de823c913160aee60f0db128313089a5e8e998669b9e5|c2120ad8060085d149d56e7777696fcbdec3f54a9736bd9c285b05ee0ecfeabb,||||,STRUCT_000318|STRUCT_000460|STRUCT_000321|STRUCT_000428|STRUCT_000368,00000
130,legal_article_retrieval,هل يستحق العامل إجازة عند الزواج أو وفاة أحد الأقارب؟,legal_article,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7,113,structural,none,bm25,,1,1,1,1.0,1.0,0.0011887550354003906,STRUCT_000114,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7,legal_article,113,المادة الثالثة عشرة بعد المائة :,15.46605067834448,bm25,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7|7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b|bb92d7b7078900d2abf1361bfbfcd1f398567caf1e6ad0f4384858a133c47a54|3008cf85045575dc64e17b75a9e0d66c33d546e1d9f751792a2d262f97a74d56|28c7e1dfc1f40ebb7b007a201360d537c4fc081c6d57f7bcda5166491de1ba69,113||||,STRUCT_000114|STRUCT_000318|STRUCT_000474|STRUCT_000315|STRUCT_000460,10000
131,legal_article_retrieval,هل للعامل الحق في إجازة مرضية؟,legal_article,2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f,117,structural,none,bm25,,0,0,0,0.0,0.0,0.0008244514465332031,STRUCT_000316,f6453a423efeb3454fba6ac956ef7af349d981a6520c3e35fab737e31077fa72,faq,,,15.777089814519485,bm25,f6453a423efeb3454fba6ac956ef7af349d981a6520c3e35fab737e31077fa72|8639d2bc223809ed44ded9320ec04460245b1eb00eff93e6ddc5a1ce681493ff|3008cf85045575dc64e17b75a9e0d66c33d546e1d9f751792a2d262f97a74d56|1d5bd053df86c6e0dbaaddc0523e0448166eed45cfbd27dfc8c8ebbee9917e28|f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855,||||,STRUCT_000316|STRUCT_000317|STRUCT_000315|STRUCT_000398|STRUCT_000321,00000
