eval_id,eval_type,question,gold_document_unit_ids,gold_article_numbers,chunking_strategy,embedding_model,retriever,alpha,hit_at_1,hit_at_3,hit_at_5,rr,ndcg_at_5,latency_sec,top1_chunk_id,top1_parent_document_id,top1_source_type,top1_article_number,top1_article_title,top1_score,top1_retrieval_backend,top5_parent_document_ids,top5_article_numbers,top5_relevance,runtime_error,gold_article_numbers_from_eval,gold_article_numbers_before_repair
FAQ_INDEXED_RETRIEVAL_0001,faq_paraphrase_retrieval,ما طريقة يمكنني إلغاء أو تعديل طلب تغيير المهنة؟,f21821c706a73cea0189c74afd39b6fab9f3c00df86d508e4dbc347f8e2e81ff,73|189|74|39|6|9|3|86|4|8|2|81,structural,none,bm25,,0,0,0,0.0,0.0,0.006740093231201172,STRUCT_000242,f21821c706a73cea0189c74afd39b6fab9f3c00df86d508e4dbc347f8e2e81ff,faq,,nan,44.75001525878906,bm25,f21821c706a73cea0189c74afd39b6fab9f3c00df86d508e4dbc347f8e2e81ff|449c1a3291d221fe0c04ade508ac1959939315e721ee71b5c7be7700281ee45b|f9e3e017efaea2f7a033f06b6670dba449de0eca80368b978391d72ccc3e8a8d|d7c4671d90f27ba13c9ad6e098620034fd87d67f2acde3cb4ea8d24d4811b8b8|4292f786ad4ddc5494c1303d472769f24b1831a0153f9d394e738fe4f40b3c3a,18,00000,,73|189|74|39|6|9|3|86|4|8|2|81,
FAQ_INDEXED_RETRIEVAL_0002,faq_paraphrase_retrieval,أريد معرفة الطريقة المتبعة لتسديد قسط التأمين؟,91f863ae18d68499e05cdf8223c6042bcc37a38e10e1085130d95f1d78a8830b,91|18|5|37|38|10|95|1|78,structural,none,bm25,,0,0,0,0.0,0.0,0.0044629573822021484,STRUCT_000339,91f863ae18d68499e05cdf8223c6042bcc37a38e10e1085130d95f1d78a8830b,faq,,nan,42.420509338378906,bm25,91f863ae18d68499e05cdf8223c6042bcc37a38e10e1085130d95f1d78a8830b|b3876c966b01e9a1cfb96da8623760f54ba2f8441bc6e7297ff6dd9c6a302986|c36d5cffdcc45c764083333bd22a35736dc7bb0af94458b7fe25fa50e81db26f|6608f4bd302f00acf422a976642b282443e43b1b69db100624218d2f3f76d949|5eba454702f0e063612cb5d6d44774a791231781c240e5f90e4e97f8b55b81b5,,00000,,91|18|5|37|38|10|95|1|78,
FAQ_INDEXED_RETRIEVAL_0003,faq_paraphrase_retrieval,ما طريقةية معاملة محرم الموظفة عند مرافقتها أثناء ابتعاثها للدراسة أو التدريب أو ايفادها للدراسة في الداخل أو انتدابها؟,e256af5955f5dee1600f1d294d2aa843c274dc4677d872e9dbf632c1f8953b0c,256|5|1|294|2|274|9,structural,none,bm25,,0,0,0,0.0,0.0,0.005419015884399414,STRUCT_000412,e256af5955f5dee1600f1d294d2aa843c274dc4677d872e9dbf632c1f8953b0c,faq,,nan,105.45941162109375,bm25,e256af5955f5dee1600f1d294d2aa843c274dc4677d872e9dbf632c1f8953b0c|e9b42d7ee190bbae839b9169b72d154b4e8087ebfb62bd4f71885cb1a50f09ca|a2ca0b7c04088ea689ca87ecaba9e61bed1edfd37b06478b545c53157f4259cd|a9c67021f17a655e0f76d00ca7fb9c2dd13161a4b164c16c29800bedf670a313|1d5bd053df86c6e0dbaaddc0523e0448166eed45cfbd27dfc8c8ebbee9917e28,,00000,,256|5|1|294|2|274|9,
FAQ_INDEXED_RETRIEVAL_0004,faq_paraphrase_retrieval,أريد توضيح الحكم النظامي بخصوص: ماهي أهداف برنامج نطاقات المطور؟,6ff8acc0f00c04a8f3c3b9e2c931e422728b201f017c40a3a5bba243c8b4e188,6|8|4|3|9|2|201|17|40|5|243|188,structural,none,bm25,,0,0,0,0.0,0.0,0.0036933422088623047,STRUCT_000355,6ff8acc0f00c04a8f3c3b9e2c931e422728b201f017c40a3a5bba243c8b4e188,faq,,nan,27.744916915893555,bm25,6ff8acc0f00c04a8f3c3b9e2c931e422728b201f017c40a3a5bba243c8b4e188|d93bf817d2866de930aee5cb65d52018a2d30a05dc3b2a5208c9d6bb54912b7f|b12b6c52dc98ebdd36429e0c5ff49bdb21ce1fdddd89d3eff60a0fe71b8bb992|c2f5ec9f530b9b0a4fe988a3bb659b66f6150627815e264eb336c9214c6c95cd|4a4407864c610938d58c82541e1d431916b215aec7fe29b08df4d214251a46f4,,00000,,6|8|4|3|9|2|201|17|40|5|243|188,
FAQ_INDEXED_RETRIEVAL_0005,faq_paraphrase_retrieval,أريد توضيح الحكم النظامي بخصوص: ما مدى إمكانية الجمع بين بدل المهنة المنصوص عليه في المادة (51) من لائحة الحقوق والمزايا المالية وبين مكافأة التدريب التي تصرف بموجب المادة (249) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,ba32d3405db89ca4685824ad8cd07423974e4e661eba4d9f8701b2a714f4c1ae,32|89|8|4|9|2|1,structural,none,bm25,,0,0,0,0.0,0.0,0.007030487060546875,STRUCT_000466,ba32d3405db89ca4685824ad8cd07423974e4e661eba4d9f8701b2a714f4c1ae,faq,,nan,116.3896255493164,bm25,ba32d3405db89ca4685824ad8cd07423974e4e661eba4d9f8701b2a714f4c1ae|7baefc03492cb2b83afc30fc033fcf8b64a0c6bb73d582d728625ec5ac857cab|4b68b15940234236ff62c01696caf43d5d9bb572ccc75cad8a58f510bdc58fce|824c4a5d30aae6ff54a965c0d935053b71e6034d36d4318118658fa3cf365068|5b87145d53f6e42bb77d0b3659f225a8caf02ac5e8410dbd33c93193f2bc89dd,,00000,,32|89|8|4|9|2|1,
FAQ_INDEXED_RETRIEVAL_0006,faq_paraphrase_retrieval,أريد توضيح الحكم النظامي بخصوص: موظف أحيل للتحقيق أثناء إجراء المفاضلة لغرض الترقية ثم صدر حكم ديوان المظالم بعدم ادانته بما نسب إليه فهل يمكن النظر في ترقيته؟,9cbf7fb10c58aad58ec3d59249ef17de418b275a98ae163fbdef896668775437,9|7|10|58|3|17|275|98|163,structural,none,bm25,,0,0,0,0.0,0.0,0.008115530014038086,STRUCT_000450,9cbf7fb10c58aad58ec3d59249ef17de418b275a98ae163fbdef896668775437,faq,,nan,131.08143615722656,bm25,9cbf7fb10c58aad58ec3d59249ef17de418b275a98ae163fbdef896668775437|5c173beff3f129204768a7c4a37ccf1caf9604dbb76fa9ee8692ae1d1ecf66c6|4f4262b5d72d6d013bb74312788971b33ccc7a8a5466bc73bba906abd22bb3f0|b0c12a67606179951e984f2f3e51d30baf2e5494e7bcc0f8c820453563770454|07a9b35461647a95b806656a91531c043fde21c29a662c02503376ba4621f108,,00000,,9|7|10|58|3|17|275|98|163,
FAQ_INDEXED_RETRIEVAL_0007,faq_paraphrase_retrieval,ما طريقة يتم احتساب أجر الساعات الإضافية؟,d15d4f9d9546ac825941020f027d112ee2098014cbc76475ab11efb09f884871,15|4|9|27|112|11,structural,none,bm25,,0,0,0,0.0,0.0,0.005419254302978516,STRUCT_000310,d15d4f9d9546ac825941020f027d112ee2098014cbc76475ab11efb09f884871,faq,,nan,32.132781982421875,bm25,d15d4f9d9546ac825941020f027d112ee2098014cbc76475ab11efb09f884871|3a81a798b51c9875415b667de5749201499490fc3a0865768bee3de62091722e|0daa0c26ae506fc5813aa4fbcaff4cd59e71f18f6c60f7316a820436f569c881|b0ba92ac7c9f773c8c38209272d49570f60ed5f90a4bf7ab85545435733fed29|e8b5ef7c86bc97c469eb6af936fc5aeafda9ce44bf0eed4b9c3c3a7130387fc6,107,00000,,15|4|9|27|112|11,
FAQ_INDEXED_RETRIEVAL_0008,faq_paraphrase_retrieval,هل مسموح تعيين العمال بصفة مؤقتة طبقاً للائحة المعينين على بند الأجور؟,55c6480dc2fde72eebcdcae651f5b8b4970b138d7009b692dfec858b088dd88e,55|2|72|5|8|138|88,structural,none,bm25,,0,0,0,0.0,0.0,0.005538225173950195,STRUCT_000419,55c6480dc2fde72eebcdcae651f5b8b4970b138d7009b692dfec858b088dd88e,faq,,nan,57.131046295166016,bm25,55c6480dc2fde72eebcdcae651f5b8b4970b138d7009b692dfec858b088dd88e|18c49d682abe023256d4e29352c754105af96a17549f0470dc4dbdd4a721b1ca|13ec72cdf8d2258939c4f1c6264dbdf05e0cade7a826e8e3c49a4331b1bb3b97|d19bfe351f11a6eb61482ae4ed61f0e34678076e137b4e8b4f17328d28a07ec8|a4e37ac3c051479b40c79d3e2df3219718a8dbec5b182a1f0ae1487b87478c3c,,00000,,55|2|72|5|8|138|88,
FAQ_INDEXED_RETRIEVAL_0009,faq_paraphrase_retrieval,هل يستطيع احتساب أيام المراجعة للمستشفيات داخل مقر العمل أو خارجه إجازة مرضية أو إجازة مرفقة؟,56417832ce66ca28e1836f2029b8505b5666b9954af217782873c007282aaeab,66|28,structural,none,bm25,,0,0,0,0.0,0.0,0.004318714141845703,STRUCT_000476,56417832ce66ca28e1836f2029b8505b5666b9954af217782873c007282aaeab,faq,,nan,74.81157684326172,bm25,56417832ce66ca28e1836f2029b8505b5666b9954af217782873c007282aaeab|1d5bd053df86c6e0dbaaddc0523e0448166eed45cfbd27dfc8c8ebbee9917e28|5bc4b8e001d855a0a8c306d6ba7dd358f9d0d2ade0dfe0f177235bcc17be1e7d|7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b|2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f,117,00000,,66|28,
FAQ_INDEXED_RETRIEVAL_0010,faq_paraphrase_retrieval,أريد توضيح الحكم النظامي بخصوص: اعرف حقوق العمال؟,7f81cd3c5fe470535b1c65952f22fe04293266fcfecef972015291b3f3ccfa95,7|81|3|5|1|22|95,structural,none,bm25,,0,0,0,0.0,0.0,0.0035402774810791016,STRUCT_000357,7f81cd3c5fe470535b1c65952f22fe04293266fcfecef972015291b3f3ccfa95,faq,,nan,19.56104278564453,bm25,7f81cd3c5fe470535b1c65952f22fe04293266fcfecef972015291b3f3ccfa95|2edd67f62b6108dad9a62ceaeac4e7fcc5c617562e84f22a3d81d0fe89edfd64|4292f786ad4ddc5494c1303d472769f24b1831a0153f9d394e738fe4f40b3c3a|2006423bfc7b9ce64c35932c4ff056705e4450a01673aec2b0d763290a8ac869|2afdc1c866c773156b5b12edc0b8ed1696aa7265ca814192997a62f3e9bc86b6,18|92,00000,,7|81|3|5|1|22|95,
