file_name,file_type,requirement,path,exists,size_kb,status
stage03_input_file_manifest.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\stage03_input_file_manifest.csv,True,1.77,OK
stage03_input_safety_checks.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\stage03_input_safety_checks.csv,True,0.17,OK
chroma_collections_manifest.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\chroma_collections_manifest.csv,True,0.65,OK
chroma_collections_manifest.xlsx,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\chroma_collections_manifest.xlsx,True,5.02,OK
chroma_collections_manifest.json,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\chroma_collections_manifest.json,True,1.26,OK
corpus_summary_by_chunking_strategy.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\corpus_summary_by_chunking_strategy.csv,True,0.38,OK
embedding_generation_summary.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\embedding_generation_summary.csv,True,0.49,OK
embedding_generation_summary.xlsx,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\embedding_generation_summary.xlsx,True,5.07,OK
stage03_final_runnable_evaluation_dataset.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\stage03_final_runnable_evaluation_dataset.csv,True,36.86,OK
retrieval_evaluation_detailed_results.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\retrieval_evaluation_detailed_results.csv,True,2728.18,OK
retrieval_evaluation_summary.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\retrieval_evaluation_summary.csv,True,1.41,OK
retrieval_evaluation_summary.xlsx,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\retrieval_evaluation_summary.xlsx,True,5.82,OK
retrieval_summary_by_eval_type.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\retrieval_summary_by_eval_type.csv,True,3.28,OK
retrieval_summary_by_eval_type.xlsx,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\retrieval_summary_by_eval_type.xlsx,True,6.63,OK
best_retrieval_config.json,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\best_retrieval_config.json,True,0.3,OK
best_config_error_summary.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\best_config_error_summary.csv,True,0.18,OK
best_config_failures_at_5.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\best_config_failures_at_5.csv,True,1.08,OK
out_of_scope_retrieval_behavior.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\out_of_scope_retrieval_behavior.csv,True,0.0,OK
reliability_gate_score_calibration.csv,data_or_report,required,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\08_stage03_rag_results\reliability_gate_score_calibration.csv,True,0.17,OK
