eval_id,eval_type,question,gold_document_unit_ids,gold_article_numbers,chunking_strategy,embedding_model,retriever,alpha,hit_at_1,hit_at_3,hit_at_5,rr,ndcg_at_5,latency_sec,top1_chunk_id,top1_parent_document_id,top1_source_type,top1_article_number,top1_article_title,top1_score,top1_retrieval_backend,top5_parent_document_ids,top5_article_numbers,top5_relevance,runtime_error
FAQ_INDEXED_RETRIEVAL_0051,faq_paraphrase_retrieval,أريد توضيح الحكم النظامي بخصوص: كتابة العقد؟,c9a21fbcbb61daf80cda91d5fff90c0620c61a52964483d2246ad7c37f13bc25,,structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.2970590591430664,STRUCT_000051,b9ce6acac4d58bf08d0059d367c9cac542b97ebf4d3e98e0ae1e4caf3b2b3d16,legal_article,51.0,المادة الحادية والخمسون:,0.5354982018470764,chromadb+bm25+reranker,b9ce6acac4d58bf08d0059d367c9cac542b97ebf4d3e98e0ae1e4caf3b2b3d16|c9a21fbcbb61daf80cda91d5fff90c0620c61a52964483d2246ad7c37f13bc25|bee1fb7779d1e1a0fe8219edb2c57c3a92726d0ab584775eddc0df60a5cfa1fc|5b731056ef895b73c139f974e421ba5d2cb4a60ba5b11b5ba0bbcd86d71e1c88|c5fe5ae610393ddae09149a89430aca1a42c6dad1a6f45520c3ade29035a9590,51.0|nan|nan|nan|74.0,01000,
FAQ_INDEXED_RETRIEVAL_0102,faq_paraphrase_retrieval,في أي حالة ينتهي عقد العمل؟,7165c86d716212cae3d2a66e831f493050f36ea6823907e713599bc67ab6d46e,,structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.2890055179595947,STRUCT_000074,c5fe5ae610393ddae09149a89430aca1a42c6dad1a6f45520c3ade29035a9590,legal_article,74.0,المادة الرابعة والسبعون:,0.9965678453445435,chromadb+bm25+reranker,c5fe5ae610393ddae09149a89430aca1a42c6dad1a6f45520c3ade29035a9590|7165c86d716212cae3d2a66e831f493050f36ea6823907e713599bc67ab6d46e|6e919a8d46ab075fbb089eb47fd2541a0a090d1af60e6eeb07ce6791f8b5cca3|f97a1128577d028dc7dcadef17f039fc50045e91f2d3a93eeb455ed9714e7028|d455916914c6215e4c60380d25e1f5d5c34d3eeb6bafc32103993d12677218e4,74.0|nan|79.0|55.0|nan,01000,
124,legal_article_retrieval,ما الحد الأقصى لساعات العمل اليومية في نظام العمل؟,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,structural,e5_large,hybrid_reranker,0.8,0,0,1,0.2,0.38685280723454163,0.34052324295043945,STRUCT_000107,9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2,legal_article,106.0,المادة السادسة بعد المائة:,0.8554105162620544,chromadb+bm25+reranker,9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2|2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa|4d7b6567adef57ae0d1350a027920ae7d11610e7cf8da52e68e0c806900f687e|139a495e5833db8719d8b962673d1f8e9de497b5a0e408371c98ec4345f855a7|a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,106.0|nan|99.0|nan|98.0,00001,
125,legal_article_retrieval,ما الحد الأقصى لساعات العمل الأسبوعية؟,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,structural,e5_large,hybrid_reranker,0.8,0,0,0,0.0,0.0,0.3262510299682617,STRUCT_000313,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa,faq,nan,nan,0.8531466722488403,chromadb+bm25+reranker,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa|9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2|139a495e5833db8719d8b962673d1f8e9de497b5a0e408371c98ec4345f855a7|d3df245fa2410ecc7d76ecb885576d34412f45e773373fdf999e9b76be2dec73|1157999dfa071a7320606edb9b747429aa71cb7707dcaf5be88784d6c4e2f7ca,nan|106.0|nan|100.0|6.0,00000,
126,legal_article_retrieval,هل تختلف ساعات العمل في شهر رمضان؟,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.3198206424713135,STRUCT_000313,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa,faq,nan,nan,0.9430148005485535,chromadb+bm25+reranker,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa|a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792|5a356cdb0bebaddc4e75f9c17283d8015c2bb4ae6571eb8c393aba98e267920f|15c8355b7682fff75eb3bea1e97889575ddbf3e292b8c06782024b6c775d1416|8bc5b015b81b31323c634d76b147f10c5db9370a66096946cae8f424861403d9,nan|98.0|164.0|102.0|104.0,01000,
127,legal_article_retrieval,ما مدة الإجازة السنوية المستحقة للعامل؟,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,109,structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.3128328323364258,STRUCT_000321,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855,faq,nan,nan,0.9968767166137695,chromadb+bm25+reranker,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed|3b88c004534c204c5feba1566db20b2467816150908d4ccb7da284a32fdf07e3|629a54386afaa4d116641b263f5724c688a053c4ad0200ae49df7d2e0ece6554|d8d08274c8960424759e6f96033aea6666a85c87bd7f71f1afc641138dca32c1,nan|109.0|114.0|105.0|nan,01000,
129,legal_article_retrieval,هل يستحق العامل أجرًا عن أيام الإجازة غير المستخدمة عند انتهاء العمل؟,6e6c8673adaa51e0d5e36d8807155b8b4a11c80dbdacd9d0003d61cadafb2edd,111,structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.32989954948425293,STRUCT_000321,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855,faq,nan,nan,0.969817042350769,chromadb+bm25+reranker,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|6e6c8673adaa51e0d5e36d8807155b8b4a11c80dbdacd9d0003d61cadafb2edd|7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b|80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed|324c5a6750383466b8164b7baf660756738e18bf6c0eb3e71d892f5b745c8c15,nan|111.0|nan|109.0|nan,01000,
133,legal_article_retrieval,ما مدة الإشعار عند إنهاء العقد غير محدد المدة؟,7c9e26395726e0e83b0257107e4165be7e87f8192406099d51844352f5c313c0,75,structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.3071479797363281,STRUCT_000323,5b731056ef895b73c139f974e421ba5d2cb4a60ba5b11b5ba0bbcd86d71e1c88,faq,nan,nan,0.9959332346916199,chromadb+bm25+reranker,5b731056ef895b73c139f974e421ba5d2cb4a60ba5b11b5ba0bbcd86d71e1c88|7c9e26395726e0e83b0257107e4165be7e87f8192406099d51844352f5c313c0|c82e5062ca01e9199295211aaf54ad2d80d8cd53acadfbfa71524b8df1a6d2b3|f97a1128577d028dc7dcadef17f039fc50045e91f2d3a93eeb455ed9714e7028|1b19a4fb2b4d423df5c66d04b1a372b80a041caaf759a0b8ba32555c20a6f902,nan|75.0|76.0|55.0|77.0,01000,
137,legal_article_retrieval,متى يستحق العامل مكافأة نهاية الخدمة؟,5b972d3ae51a19b2a3ebe1ab525fc3fb05eefd24224b1f22cd598c050d3194bf|343ee48aabd2cf26f0312d0efdb39d7547ea2d705cf92251d1663ca801c6d9d0,"84,85",structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6934264036172708,0.3226048946380615,STRUCT_000437,805230b359c36c66f227ede181f48e9fe418ada20a1e2ea5d557d3e3d1169707,faq,nan,nan,0.9579455852508545,chromadb+bm25+reranker,805230b359c36c66f227ede181f48e9fe418ada20a1e2ea5d557d3e3d1169707|5b972d3ae51a19b2a3ebe1ab525fc3fb05eefd24224b1f22cd598c050d3194bf|343ee48aabd2cf26f0312d0efdb39d7547ea2d705cf92251d1663ca801c6d9d0|7baefc03492cb2b83afc30fc033fcf8b64a0c6bb73d582d728625ec5ac857cab|1e3480ae389f6036ef5bcf0e523fd7b8cb4b3183a75265a89bac075015f6b285,nan|84.0|85.0|nan|nan,01100,
139,legal_article_retrieval,ما المقصود بعقد العمل في نظام العمل؟,5041298e7168e1f1df106309d08bbb7448bfed1640704796254ea7358d898704,50,structural,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.31470489501953125,STRUCT_000327,bee1fb7779d1e1a0fe8219edb2c57c3a92726d0ab584775eddc0df60a5cfa1fc,faq,nan,nan,0.9317966103553772,chromadb+bm25+reranker,bee1fb7779d1e1a0fe8219edb2c57c3a92726d0ab584775eddc0df60a5cfa1fc|5041298e7168e1f1df106309d08bbb7448bfed1640704796254ea7358d898704|8bbf575ad1766bf715e0035a740eeecfe0375e1df9582aa1d446c417832408ce|a03900ffe9b536bc7774b84e1eb41826aacf458ed3920b36e463e08ac8bde4cd|4f2961046b5fffdc637e2b7de4dfb1fd862ccc7b9f3069349681b04ff17df638,nan|50.0|nan|5.0|2.0,01000,
