eval_id,eval_type,question,gold_source_type,gold_document_unit_ids,gold_article_numbers,chunking_strategy,embedding_model,retriever,alpha,hit_at_1,hit_at_3,hit_at_5,rr,ndcg_at_5,latency_sec,top1_chunk_id,top1_parent_document_id,top1_source_type,top1_article_number,top1_article_title,top1_score,top1_retrieval_backend,top5_parent_document_ids,top5_article_numbers,top5_chunk_ids,top5_relevance
1,faq_retrieval,هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟,faq,004ea50cd2e3b50e605b6d0f769d2fb418a83490050e46372e0a4ce04446c378,,structural,none,bm25,,0,0,0,0.0,0.0,0.0022602081298828125,STRUCT_000214,529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3,faq,,,34.97331392056275,bm25,529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3|17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673|2006423bfc7b9ce64c35932c4ff056705e4450a01673aec2b0d763290a8ac869|a5df99c1d79bacfdba628c3d9ca2b8918e7b0fa90361b9b4f0fe94a31b77a08b|1f12f3dacb77ce8e85f699e38a238ee6b25f630cafc48e7bb1a1fbd073f0d76a,||||,STRUCT_000214|STRUCT_000215|STRUCT_000370|STRUCT_000285|STRUCT_000273,00000
2,faq_retrieval,كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟,faq,001715202ff48d357db0ee5b5dc2f8992b5a1cec7389155a11cad6d876f37fc6,,structural,none,bm25,,0,0,0,0.0,0.0,0.0018229484558105469,STRUCT_000215,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,faq,,,57.41294616671716,bm25,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673|529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3|49b99ddb166e65f8b40a80acaed85088116e8ac09b80b093eca2dfc830824647|2006423bfc7b9ce64c35932c4ff056705e4450a01673aec2b0d763290a8ac869|904ab34b5c9b43d2fe7a741ce82e65e27d0d5d6fb0315878dd8e0ce0667d8d04,||||,STRUCT_000215|STRUCT_000214|STRUCT_000344|STRUCT_000370|STRUCT_000366,00000
3,faq_retrieval,ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندًا تنفيذيًا؟,faq,1f0a32b43d1d888523da1db089e2b5f6310977c6d4065dff65bf39462c298fd2,,structural,none,bm25,,0,0,0,0.0,0.0,0.0016887187957763672,STRUCT_000215,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,faq,,,27.00054158947684,bm25,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673|529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3|2548839ac5c9512338df6e72f5d4bb945dca0436f2c04612340ca8aef097a532|c2120ad8060085d149d56e7777696fcbdec3f54a9736bd9c285b05ee0ecfeabb|8bbf575ad1766bf715e0035a740eeecfe0375e1df9582aa1d446c417832408ce,||48||,STRUCT_000215|STRUCT_000214|STRUCT_000048|STRUCT_000368|STRUCT_000326,00000
4,faq_retrieval,ماهي مراحل التطبيق على العقود الموثقة لعقد العمل الموثق سندًا تنفيذيًا؟,faq,c37bc793ca18cedb26c8bc4e19db4b07f676501c117336fea4847f8c92bb7e80,,structural,none,bm25,,0,0,0,0.0,0.0,0.0014538764953613281,STRUCT_000215,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673,faq,,,29.686467869090436,bm25,17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673|2006423bfc7b9ce64c35932c4ff056705e4450a01673aec2b0d763290a8ac869|529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3|e9f66d270344d32dfb93564c03d68d688b7ffdf97897f2e0712c2163a8e1e5de|ff73987fc0fe0dcf59f38c65917f231605f50a548c3ee33f07ec7cd2905bf82b,|||170|,STRUCT_000215|STRUCT_000370|STRUCT_000214|STRUCT_000168|STRUCT_000347,00000
5,faq_retrieval,ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟,faq,46001ae4bf6cc21f527a78e9a6a46b5913de3ecff09d71a32feb88f8a6ccaaa9,,structural,none,bm25,,0,0,0,0.0,0.0,0.0013141632080078125,STRUCT_000214,529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3,faq,,,30.496146318379047,bm25,529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3|17d98bd155a20df1f783c2bdece8e48a0c9691c9d26a364b52e3622d27c99673|2006423bfc7b9ce64c35932c4ff056705e4450a01673aec2b0d763290a8ac869|5e8999400c09e0a2277f41f0e97cff194b05c8cf35263e18cbef8f40ed293c28|c2120ad8060085d149d56e7777696fcbdec3f54a9736bd9c285b05ee0ecfeabb,||||,STRUCT_000214|STRUCT_000215|STRUCT_000370|STRUCT_000277|STRUCT_000368,00000
6,faq_retrieval,ما هي الجهة المشرعة لبرنامج حماية الأجور؟,faq,78f881c6ac6d11831761761dbf7216c07b31b6dee228ccdb6e04ad4debb0bb6c,,structural,none,bm25,,0,0,0,0.0,0.0,0.0013055801391601562,STRUCT_000293,0362b9a41737b2d8bf2a6e7825bdaf70ea412e6d88539550e7ac62444d5836cf,faq,,,17.097179471755908,bm25,0362b9a41737b2d8bf2a6e7825bdaf70ea412e6d88539550e7ac62444d5836cf|ffcbe5cf29f6d2cdda18b0740dd44878393fd31ecd4d31557e3e83a44475ed3b|2edd67f62b6108dad9a62ceaeac4e7fcc5c617562e84f22a3d81d0fe89edfd64|2ef10651a5c629ba258bede9c40baa6e68b9df722af6e464a31c98e6ebfd768b|23f96d2607660150ef76dbb1b285a7557f64ae21c60ce8df6f5ace1314d6b764,||||,STRUCT_000293|STRUCT_000295|STRUCT_000218|STRUCT_000271|STRUCT_000220,00000
7,faq_retrieval,ما هي أهداف برنامج حماية الأجور؟,faq,b0ebcab351b4739f0566a90080daa23d875b475bac36659a0088539697b8a266,,structural,none,bm25,,0,0,0,0.0,0.0,0.0008087158203125,STRUCT_000218,2edd67f62b6108dad9a62ceaeac4e7fcc5c617562e84f22a3d81d0fe89edfd64,faq,,,17.63124082845729,bm25,2edd67f62b6108dad9a62ceaeac4e7fcc5c617562e84f22a3d81d0fe89edfd64|0362b9a41737b2d8bf2a6e7825bdaf70ea412e6d88539550e7ac62444d5836cf|ffcbe5cf29f6d2cdda18b0740dd44878393fd31ecd4d31557e3e83a44475ed3b|23f96d2607660150ef76dbb1b285a7557f64ae21c60ce8df6f5ace1314d6b764|53612f8f879579506fe457514d3af7812925a3583886242c3d2fcf62fefd19a9,||||,STRUCT_000218|STRUCT_000293|STRUCT_000295|STRUCT_000220|STRUCT_000219,00000
8,faq_retrieval,ما هو تاريخ بداية العقد لمن أكمل 5 سنوات وكيف تحسب فترة الخدمة السابقة لتسجيل العقد؟,faq,0d597df1b233e5d84c1e7ddfd9353da00659d88fb934af35eaa2b25a57140b2c,,structural,none,bm25,,0,0,0,0.0,0.0,0.0018002986907958984,STRUCT_000485,3263066d342718e76c573da28d98331c61d5ee9485578ae6c320d62049b55b12,faq,,,15.317340065478097,bm25,3263066d342718e76c573da28d98331c61d5ee9485578ae6c320d62049b55b12|c3696ba25c5d7887514c3837aec4600c03caf204510785d4f51d545a3c36281d|988be671dd6148222062d906d88b481ede0668f764be55d5ec361c4f92a3453c|dcbca1d42ec51e90c48516e275fec555e577ced7d6fbaa0d422450dc4f1c4200|beaf59a1c76f816d935624b5b2ab895b5dfc36cec57f3726e4366fb108a8678f,||||,STRUCT_000485|STRUCT_000375|STRUCT_000224|STRUCT_000374|STRUCT_000470,00000
9,faq_retrieval,كيف يرسل العقد للموظف؟,faq,c18fece192547ecfc865229426cb86860b0eac8f515d288c0f22cbabc1991928,,structural,none,bm25,,0,0,0,0.0,0.0,0.00103759765625,STRUCT_000223,449c1a3291d221fe0c04ade508ac1959939315e721ee71b5c7be7700281ee45b,faq,,,13.19206131348193,bm25,449c1a3291d221fe0c04ade508ac1959939315e721ee71b5c7be7700281ee45b|5eba454702f0e063612cb5d6d44774a791231781c240e5f90e4e97f8b55b81b5|ae542350cf7e8377c04eadd5b384125acf3cc6773bf773236f721383cc9805e7|37e9f0f323068ad35feb8c5e5f9b48e754054f7254f7e3720c2cb41b925aecf9|b2905996e384ac499094480daa4e70ad78767c78ee6c03d28ce5c130522f2f01,||28|25|,STRUCT_000223|STRUCT_000243|STRUCT_000028|STRUCT_000025|STRUCT_000371,00000
10,faq_retrieval,هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها,faq,3bd22efd40a50fd37fe62428fe33778eb4918ea6a0fa8dd2e47cea459f83d393,,structural,none,bm25,,0,0,0,0.0,0.0,0.0018489360809326172,STRUCT_000230,888e39bfc2f21b2ed78d3b648d26150c9737ce04a7004010d898d7d433c9a117,faq,,,52.811084894485546,bm25,888e39bfc2f21b2ed78d3b648d26150c9737ce04a7004010d898d7d433c9a117|99aa320861320164887d6bdeee2c6d8400ad8bb317ab41af79ca6677bab9116d|bd7dabf26abca821409c8f891bcd97d9571cec066f19591481e33f836ac45057|eae7dc8ecb1a3b0eb7b1abc4f4c192109c9b33c032020e29a803bfadeec55761|302be7a68fdb250526324c51d10519a63a0be5af74182ca175da01c1c59f158a,||||,STRUCT_000230|STRUCT_000229|STRUCT_000231|STRUCT_000221|STRUCT_000228,00000
